Streaming output truncated to the last 5000 lines.
2026-05-10 02:47:23,003 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=764 total_rows=764
2026-05-10 02:47:23,004 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180217.taz rows=764
2026-05-10 02:47:23,163 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=490 total_rows=490
2026-05-10 02:47:23,164 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180218.taz rows=490
2026-05-10 02:47:23,682 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=1651 total_rows=1651
2026-05-10 02:47:23,685 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180219.taz rows=1651
2026-05-10 02:47:24,000 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=1020 total_rows=1020
2026-05-10 02:47:24,002 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180220.taz rows=1020
2026-05-10 02:47:24,093 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=294 total_rows=294
2026-05-10 02:47:24,094 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180221.taz rows=294
2026-05-10 02:47:24,302 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=631 total_rows=631
2026-05-10 02:47:24,304 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180222.taz rows=631
2026-05-10 02:47:24,536 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=721 total_rows=721
2026-05-10 02:47:24,538 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180223.taz rows=721
2026-05-10 02:47:24,936 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=1212 total_rows=1212
2026-05-10 02:47:24,938 | INFO | bodacc_archives_to_parquet | exported archive=/content/pfe_work/source-archives/bodacc/historical/2018/PCL/PCL_BXA20180224.taz rows=1212
2026-05-10 02:47:25,229 | INFO | bodacc_to_parquet | wrote part=00001 batch_rows=926 total_rows=926
